x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
0.0105,0.2117,0.0000,0.0000,0.3142,-0.4733,0.6550,0.9950,-0.3091,0.9510
0.0584,0.2267,0.0502,0.0021,0.2906,-0.4627,0.6350,0.9950,-0.2865,0.9581
0.1065,0.2405,0.1003,0.0041,0.2676,-0.4512,0.6150,1.0050,-0.2644,0.9644
0.1548,0.2531,0.1502,0.0062,0.2454,-0.4388,0.5950,1.0150,-0.2429,0.9701
0.2033,0.2647,0.2000,0.0082,0.2238,-0.4255,0.5850,1.0250,-0.2219,0.9751
0.2520,0.2753,0.2498,0.0102,0.2030,-0.4115,0.5650,1.0250,-0.2016,0.9795
0.3008,0.2848,0.2996,0.0123,0.1830,-0.3968,0.5050,1.0350,-0.1819,0.9833
0.3498,0.2934,0.3493,0.0143,0.1637,-0.3815,0.4950,1.0350,-0.1630,0.9866
0.3989,0.3010,0.3990,0.0164,0.1453,-0.3656,0.4850,1.0450,-0.1448,0.9895
0.4482,0.3078,0.4488,0.0184,0.1276,-0.3493,0.4750,1.0450,-0.1273,0.9919
0.4976,0.3137,0.4985,0.0204,0.1108,-0.3326,0.4650,1.0550,-0.1106,0.9939
0.5472,0.3188,0.5483,0.0225,0.0948,-0.3155,0.4650,1.0550,-0.0947,0.9955
0.5968,0.3231,0.5982,0.0245,0.0797,-0.2982,0.4550,1.0550,-0.0796,0.9968
0.6466,0.3268,0.6481,0.0266,0.0653,-0.2807,0.4550,1.0550,-0.0653,0.9979
0.6964,0.3297,0.6980,0.0286,0.0518,-0.2630,0.4550,1.0650,-0.0518,0.9987
0.7464,0.3319,0.7480,0.0307,0.0391,-0.2454,0.4450,1.0650,-0.0391,0.9992
0.7965,0.3336,0.7981,0.0327,0.0273,-0.2277,0.4450,1.0650,-0.0273,0.9996
0.8466,0.3347,0.8482,0.0348,0.0162,-0.2102,0.4450,1.0650,-0.0162,0.9999
0.8968,0.3352,0.8984,0.0368,0.0060,-0.1928,0.4450,1.0650,-0.0060,1.0000
0.9470,0.3353,0.9487,0.0389,-0.0035,-0.1757,0.4450,1.0650,0.0035,1.0000
0.9973,0.3349,0.9990,0.0410,-0.0121,-0.1589,0.4450,1.0650,0.0121,0.9999
1.0477,0.3341,1.0494,0.0430,-0.0199,-0.1430,0.4450,1.0650,0.0199,0.9998
1.0981,0.3329,1.0998,0.0451,-0.0270,-0.1277,0.4450,1.0650,0.0270,0.9996
1.1485,0.3314,1.1502,0.0472,-0.0333,-0.1132,0.4450,1.0650,0.0333,0.9994
1.1990,0.3296,1.2007,0.0492,-0.0388,-0.0994,0.4550,1.0650,0.0388,0.9992
1.2494,0.3275,1.2512,0.0513,-0.0435,-0.0863,0.4550,1.0550,0.0435,0.9991
1.2999,0.3252,1.3017,0.0534,-0.0474,-0.0741,0.4550,1.0550,0.0474,0.9989
1.3503,0.3227,1.3523,0.0554,-0.0506,-0.0627,0.4550,1.1050,0.0506,0.9987
1.4008,0.3201,1.4028,0.0575,-0.0530,-0.0521,0.4650,1.1050,0.0530,0.9986
1.4512,0.3174,1.4533,0.0596,-0.0547,-0.0423,0.4650,1.0950,0.0547,0.9985
1.5017,0.3146,1.5038,0.0617,-0.0556,-0.0334,0.4650,1.0950,0.0555,0.9985
1.5520,0.3118,1.5542,0.0637,-0.0558,-0.0253,0.4650,1.0950,0.0558,0.9984
1.6024,0.3090,1.6047,0.0658,-0.0559,-0.0181,0.4750,1.0950,0.0558,0.9984
1.6527,0.3061,1.6551,0.0679,-0.0559,-0.0116,0.4750,1.0850,0.0559,0.9984
1.7030,0.3033,1.7054,0.0699,-0.0559,-0.0059,0.4750,1.1350,0.0559,0.9984
1.7532,0.3005,1.7558,0.0720,-0.0559,-0.0010,0.4850,1.1350,0.0558,0.9984
1.8035,0.2977,1.8061,0.0740,-0.0558,0.0032,0.4850,1.1250,0.0557,0.9984
1.8537,0.2949,1.8563,0.0761,-0.0556,0.0067,0.4850,1.1250,0.0556,0.9985
1.9038,0.2921,1.9066,0.0782,-0.0554,0.0096,0.4850,1.1250,0.0554,0.9985
1.9540,0.2893,1.9568,0.0802,-0.0552,0.0118,0.4950,1.1250,0.0552,0.9985
2.0041,0.2866,2.0070,0.0823,-0.0549,0.0136,0.4950,1.1150,0.0549,0.9985
